#start_time       	done_time        	elapsed	seconds	task	prefix	file
2025-11-05.181041	2025-11-05.181045	NA	4.1	1nt_test_profiles	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
NA	NA	NA	NA	1nt_test_freq	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2025-11-05.181046	2025-11-05.181050	NA	4.65	2nt_test_profiles	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
NA	NA	NA	NA	2nt_test_freq	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2025-11-05.181056	2025-11-05.181059	NA	3.35	1nt_ctrl_profiles	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_1nt_ci20.tab
NA	NA	NA	NA	1nt_ctrl_freq	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_freq-1str-ovlp_1nt.tab
2025-11-05.181100	2025-11-05.181104	NA	4.06	2nt_ctrl_profiles	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_2nt_ci20.tab
NA	NA	NA	NA	2nt_ctrl_freq	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_freq-1str-ovlp_2nt.tab
2025-11-05.181109	2025-11-05.181117	NA	0.07	oligos_6nt_test_vs_ctrl_2pssm	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl_pssm_log.txt
2025-11-05.181109	2025-11-05.181109	NA	0.47	oligos_6nt_test_vs_ctrl	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl.tab
2025-11-05.181118	2025-11-05.181125	NA	0.07	oligos_7nt_test_vs_ctrl_2pssm	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl_pssm_log.txt
2025-11-05.181117	2025-11-05.181118	NA	0.99	oligos_7nt_test_vs_ctrl	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl.tab
2025-11-05.181127	2025-11-05.181136	NA	0.64	motifs_disco_compa	peak-motifs	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
