; position-analysis -v 1 -i $RSAT/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/data/sequences/peak-motifs_ctrl_purged_ml40_mis3.fasta -format fasta -sort -return html,chi,sig,distrib,graphs,rank,index -max_graphs 20 -1str -ovlp -seqtype dna -l 1 -ci 20 -img_format png -title p300_heart_versus_limb_Blow2010 -origin center -offset 0 -o $RSAT/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_1nt_ci20.tab
; Citation: van Helden, et al. (2000).  Nucleic Acids Res 28, 1000-1010.
; Sequence file                	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/data/sequences/peak-motifs_ctrl_purged_ml40_mis3.fasta
; Sequence format              	fasta
; Sequence type                	dna
; Output file                  	/var/www/html/rsat/public_html/tmp/www-data/2025/11/05/peak-motifs.2025-11-05.181036_2025-11-05.181036_ioChdq/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_1nt_ci20.tab
; Oligo length                 	1
; Occurrences counted  on a single  strands
; Conditions of applicability checked.
; Background model estimation: homogeneous repartition
; Sequence statistics:
;	Nb of sequences              	1000
;	Sum of sequence lengths      	679550
;	Min sequence length          	0
;	Max sequence length          	2301
;	Average sequence length      	679
;	Possible positions           	679550
; Oligonucleotide statistics:
;	Total occurrences    	671106
; Position interval parameters:
;	Position interval    	20
;	Number of windows    	116
;	Total positions      	679550
;	Degrees of freedom   	115
; K-mer clustering parameters:
;	Number of clusters   	0
;	Clustering method    	complete
; Position intervals:
;	window	[min,max]	mid	seq	occ
;	1	-58	[-1159,-1140]	-1149.5	1	11
;	2	-57	[-1139,-1120]	-1129.5	1	20
;	3	-56	[-1119,-1100]	-1109.5	1	20
;	4	-55	[-1099,-1080]	-1089.5	1	20
;	5	-54	[-1079,-1060]	-1069.5	1	20
;	6	-53	[-1059,-1040]	-1049.5	1	20
;	7	-52	[-1039,-1020]	-1029.5	2	38
;	8	-51	[-1019,-1000]	-1009.5	2	40
;	9	-50	[-999,-980]	-989.5	2	40
;	10	-49	[-979,-960]	-969.5	3	44
;	11	-48	[-959,-940]	-949.5	3	60
;	12	-47	[-939,-920]	-929.5	3	60
;	13	-46	[-919,-900]	-909.5	3	60
;	14	-45	[-899,-880]	-889.5	3	60
;	15	-44	[-879,-860]	-869.5	3	60
;	16	-43	[-859,-840]	-849.5	4	71
;	17	-42	[-839,-820]	-829.5	8	116
;	18	-41	[-819,-800]	-809.5	11	176
;	19	-40	[-799,-780]	-789.5	13	236
;	20	-39	[-779,-760]	-769.5	13	260
;	21	-38	[-759,-740]	-749.5	15	282
;	22	-37	[-739,-720]	-729.5	17	324
;	23	-36	[-719,-700]	-709.5	28	377
;	24	-35	[-699,-680]	-689.5	32	592
;	25	-34	[-679,-660]	-669.5	42	716
;	26	-33	[-659,-640]	-649.5	44	862
;	27	-32	[-639,-620]	-629.5	52	964
;	28	-31	[-619,-600]	-609.5	64	1169
;	29	-30	[-599,-580]	-589.5	66	1296
;	30	-29	[-579,-560]	-569.5	75	1428
;	31	-28	[-559,-540]	-549.5	86	1621
;	32	-27	[-539,-520]	-529.5	97	1882
;	33	-26	[-519,-500]	-509.5	118	2104
;	34	-25	[-499,-480]	-489.5	131	2464
;	35	-24	[-479,-460]	-469.5	169	3048
;	36	-23	[-459,-440]	-449.5	182	3523
;	37	-22	[-439,-420]	-429.5	225	4114
;	38	-21	[-419,-400]	-409.5	276	4824
;	39	-20	[-399,-380]	-389.5	299	5704
;	40	-19	[-379,-360]	-369.5	361	6588
;	41	-18	[-359,-340]	-349.5	389	7528
;	42	-17	[-339,-320]	-329.5	463	8596
;	43	-16	[-319,-300]	-309.5	533	9655
;	44	-15	[-299,-280]	-289.5	569	10948
;	45	-14	[-279,-260]	-269.5	680	12544
;	46	-13	[-259,-240]	-249.5	746	14326
;	47	-12	[-239,-220]	-229.5	832	16036
;	48	-11	[-219,-200]	-209.5	921	17431
;	49	-10	[-199,-180]	-189.5	955	18692
;	50	-9	[-179,-160]	-169.5	984	19408
;	51	-8	[-159,-140]	-149.5	996	19812
;	52	-7	[-139,-120]	-129.5	1000	19992
;	53	-6	[-119,-100]	-109.5	1000	20000
;	54	-5	[-99,-80]	-89.5	1000	20000
;	55	-4	[-79,-60]	-69.5	1000	20000
;	56	-3	[-59,-40]	-49.5	1000	20000
;	57	-2	[-39,-20]	-29.5	1000	20000
;	58	-1	[-19,0]	-9.5	1000	20000
;	59	0	[1,20]	10.5	1000	20000
;	60	1	[21,40]	30.5	1000	20000
;	61	2	[41,60]	50.5	1000	20000
;	62	3	[61,80]	70.5	1000	20000
;	63	4	[81,100]	90.5	1000	20000
;	64	5	[101,120]	110.5	1000	20000
;	65	6	[121,140]	130.5	1000	19992
;	66	7	[141,160]	150.5	996	19800
;	67	8	[161,180]	170.5	984	19366
;	68	9	[181,200]	190.5	955	18692
;	69	10	[201,220]	210.5	886	17288
;	70	11	[221,240]	230.5	832	16000
;	71	12	[241,260]	250.5	746	14260
;	72	13	[261,280]	270.5	680	12382
;	73	14	[281,300]	290.5	569	10948
;	74	15	[301,320]	310.5	488	9560
;	75	16	[321,340]	330.5	463	8553
;	76	17	[341,360]	350.5	389	7500
;	77	18	[361,380]	370.5	361	6494
;	78	19	[381,400]	390.5	299	5704
;	79	20	[401,420]	410.5	246	4752
;	80	21	[421,440]	430.5	225	4089
;	81	22	[441,460]	450.5	182	3510
;	82	23	[461,480]	470.5	169	2995
;	83	24	[481,500]	490.5	131	2464
;	84	25	[501,520]	510.5	108	2072
;	85	26	[521,540]	530.5	97	1879
;	86	27	[541,560]	550.5	86	1610
;	87	28	[561,580]	570.5	75	1416
;	88	29	[581,600]	590.5	66	1296
;	89	30	[601,620]	610.5	61	1148
;	90	31	[621,640]	630.5	52	959
;	91	32	[641,660]	650.5	44	860
;	92	33	[661,680]	670.5	42	699
;	93	34	[681,700]	690.5	32	592
;	94	35	[701,720]	710.5	19	364
;	95	36	[721,740]	730.5	17	323
;	96	37	[741,760]	750.5	15	280
;	97	38	[761,780]	770.5	13	260
;	98	39	[781,800]	790.5	13	236
;	99	40	[801,820]	810.5	9	172
;	100	41	[821,840]	830.5	8	113
;	101	42	[841,860]	850.5	4	70
;	102	43	[861,880]	870.5	3	60
;	103	44	[881,900]	890.5	3	60
;	104	45	[901,920]	910.5	3	60
;	105	46	[921,940]	930.5	3	60
;	106	47	[941,960]	950.5	3	60
;	107	48	[961,980]	970.5	3	42
;	108	49	[981,1000]	990.5	2	40
;	109	50	[1001,1020]	1010.5	2	40
;	110	51	[1021,1040]	1030.5	2	38
;	111	52	[1041,1060]	1050.5	1	20
;	112	53	[1061,1080]	1070.5	1	20
;	113	54	[1081,1100]	1090.5	1	20
;	114	55	[1101,1120]	1110.5	1	20
;	115	56	[1121,1140]	1130.5	1	20
;	116	57	[1141,1160]	1150.5	1	10
;
; Column headers
;	1	seq            	pattern sequence
;	2	id             	pattern identifier
;	3	occ            	pattern occurrences
;	4	chi2           	observed chi-square
;	5	df             	degrees of freedom
;	6	Pval           	P-value (probability for one word to be a false positive)
;	7	Eval           	E-value; expected number of false positives (Eval = Pval * nb_tests)
;	8	sig            	Significance (sig = -log10(Eval))
;	9	rank           	rank of the pattern according to sorting criterion
;	10	-1149.5        	occurrences in window	1	[-1159,-1140]
;	11	-1129.5        	occurrences in window	2	[-1139,-1120]
;	12	-1109.5        	occurrences in window	3	[-1119,-1100]
;	13	-1089.5        	occurrences in window	4	[-1099,-1080]
;	14	-1069.5        	occurrences in window	5	[-1079,-1060]
;	15	-1049.5        	occurrences in window	6	[-1059,-1040]
;	16	-1029.5        	occurrences in window	7	[-1039,-1020]
;	17	-1009.5        	occurrences in window	8	[-1019,-1000]
;	18	-989.5         	occurrences in window	9	[-999,-980]
;	19	-969.5         	occurrences in window	10	[-979,-960]
;	20	-949.5         	occurrences in window	11	[-959,-940]
;	21	-929.5         	occurrences in window	12	[-939,-920]
;	22	-909.5         	occurrences in window	13	[-919,-900]
;	23	-889.5         	occurrences in window	14	[-899,-880]
;	24	-869.5         	occurrences in window	15	[-879,-860]
;	25	-849.5         	occurrences in window	16	[-859,-840]
;	26	-829.5         	occurrences in window	17	[-839,-820]
;	27	-809.5         	occurrences in window	18	[-819,-800]
;	28	-789.5         	occurrences in window	19	[-799,-780]
;	29	-769.5         	occurrences in window	20	[-779,-760]
;	30	-749.5         	occurrences in window	21	[-759,-740]
;	31	-729.5         	occurrences in window	22	[-739,-720]
;	32	-709.5         	occurrences in window	23	[-719,-700]
;	33	-689.5         	occurrences in window	24	[-699,-680]
;	34	-669.5         	occurrences in window	25	[-679,-660]
;	35	-649.5         	occurrences in window	26	[-659,-640]
;	36	-629.5         	occurrences in window	27	[-639,-620]
;	37	-609.5         	occurrences in window	28	[-619,-600]
;	38	-589.5         	occurrences in window	29	[-599,-580]
;	39	-569.5         	occurrences in window	30	[-579,-560]
;	40	-549.5         	occurrences in window	31	[-559,-540]
;	41	-529.5         	occurrences in window	32	[-539,-520]
;	42	-509.5         	occurrences in window	33	[-519,-500]
;	43	-489.5         	occurrences in window	34	[-499,-480]
;	44	-469.5         	occurrences in window	35	[-479,-460]
;	45	-449.5         	occurrences in window	36	[-459,-440]
;	46	-429.5         	occurrences in window	37	[-439,-420]
;	47	-409.5         	occurrences in window	38	[-419,-400]
;	48	-389.5         	occurrences in window	39	[-399,-380]
;	49	-369.5         	occurrences in window	40	[-379,-360]
;	50	-349.5         	occurrences in window	41	[-359,-340]
;	51	-329.5         	occurrences in window	42	[-339,-320]
;	52	-309.5         	occurrences in window	43	[-319,-300]
;	53	-289.5         	occurrences in window	44	[-299,-280]
;	54	-269.5         	occurrences in window	45	[-279,-260]
;	55	-249.5         	occurrences in window	46	[-259,-240]
;	56	-229.5         	occurrences in window	47	[-239,-220]
;	57	-209.5         	occurrences in window	48	[-219,-200]
;	58	-189.5         	occurrences in window	49	[-199,-180]
;	59	-169.5         	occurrences in window	50	[-179,-160]
;	60	-149.5         	occurrences in window	51	[-159,-140]
;	61	-129.5         	occurrences in window	52	[-139,-120]
;	62	-109.5         	occurrences in window	53	[-119,-100]
;	63	-89.5          	occurrences in window	54	[-99,-80]
;	64	-69.5          	occurrences in window	55	[-79,-60]
;	65	-49.5          	occurrences in window	56	[-59,-40]
;	66	-29.5          	occurrences in window	57	[-39,-20]
;	67	-9.5           	occurrences in window	58	[-19,0]
;	68	10.5           	occurrences in window	59	[1,20]
;	69	30.5           	occurrences in window	60	[21,40]
;	70	50.5           	occurrences in window	61	[41,60]
;	71	70.5           	occurrences in window	62	[61,80]
;	72	90.5           	occurrences in window	63	[81,100]
;	73	110.5          	occurrences in window	64	[101,120]
;	74	130.5          	occurrences in window	65	[121,140]
;	75	150.5          	occurrences in window	66	[141,160]
;	76	170.5          	occurrences in window	67	[161,180]
;	77	190.5          	occurrences in window	68	[181,200]
;	78	210.5          	occurrences in window	69	[201,220]
;	79	230.5          	occurrences in window	70	[221,240]
;	80	250.5          	occurrences in window	71	[241,260]
;	81	270.5          	occurrences in window	72	[261,280]
;	82	290.5          	occurrences in window	73	[281,300]
;	83	310.5          	occurrences in window	74	[301,320]
;	84	330.5          	occurrences in window	75	[321,340]
;	85	350.5          	occurrences in window	76	[341,360]
;	86	370.5          	occurrences in window	77	[361,380]
;	87	390.5          	occurrences in window	78	[381,400]
;	88	410.5          	occurrences in window	79	[401,420]
;	89	430.5          	occurrences in window	80	[421,440]
