;mode: matches	thresholds:	cor=0.700000	ncor=0.400000	w=5	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m1	1.000000	1.000000	1.000000	1.000000	15	15	15	15	1.000000	1.000000	1.000000	D	0	0
oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m2	0.735766	0.637664	0.637664	0.735766	15	13	13	15	0.866667	0.866667	1.000000	R	0	0
oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m4	oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m4	0.854341	0.854341	0.854341	0.854341	15	15	15	15	1.000000	1.000000	1.000000	R	0	0
oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m1	0.953269	0.774531	0.826166	0.885178	15	14	13	16	0.812500	0.866667	0.928571	R	-1	0
oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m2	0.748412	0.608084	0.648623	0.694954	15	14	13	16	0.812500	0.866667	0.928571	D	-1	0
oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m4	oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m4	0.852667	0.710556	0.852667	0.710556	15	18	15	18	0.833333	1.000000	0.833333	R	-1	0
oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m5	oligos_6nt_test_vs_ctrl_m1	oligos_7nt_test_vs_ctrl_m5	0.964066	0.783303	0.835523	0.895204	15	14	13	16	0.812500	0.866667	0.928571	R	-1	0
oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m1	oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m1	0.735766	0.637664	0.735766	0.637664	13	15	13	15	0.866667	1.000000	0.866667	R	-2	0
oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m2	1.000000	1.000000	1.000000	1.000000	13	13	13	13	1.000000	1.000000	1.000000	D	0	0
oligos_6nt_test_vs_ctrl_m2	oligos_7nt_test_vs_ctrl_m2	oligos_6nt_test_vs_ctrl_m2	oligos_7nt_test_vs_ctrl_m2	0.930754	0.864272	0.930754	0.864272	13	14	13	14	0.928571	1.000000	0.928571	R	0	0
